GHG Scopes and categories L1,GHG Scopes and categories L2,Activity L1,Activity L2,Region,Activity unit,Year,Readable unique string,Emission factor [kg CO2e/unit],Emission factor (location-based) [kg CO2e/unit],Emission factor (market-based) [kg CO2e/unit],Source,Description,Link,KEY
Scope 1,Fuel combustion,Biofuel,Bio Petrol,GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Bio-Petrol_GLOBAL_GJ_2022,0.42339,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_bioPetrol
Scope 1,Fuel combustion,Biofuel,Bio Petrol,GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Bio-Petrol_GLOBAL_kg_2022,0.01891,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_bioPetrol
Scope 1,Fuel combustion,Biofuel,Bio Petrol,GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Bio-Petrol_GLOBAL_litres_2022,0.01402,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_bioPetrol
Scope 1,Fuel combustion,Biofuel,Biodiesel HVO,GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-HVO_GLOBAL_GJ_2022,1.03677,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_biodieselHvo
Scope 1,Fuel combustion,Biofuel,Biodiesel HVO,GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-HVO_GLOBAL_kg_2022,0.04562,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_biodieselHvo
Scope 1,Fuel combustion,Biofuel,Biodiesel HVO,GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-HVO_GLOBAL_litres_2022,0.03558,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_biodieselHvo
Scope 1,Fuel combustion,Biofuel,Biodiesel ME,GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME_GLOBAL_GJ_2022,5.05961,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_biodieselMe
Scope 1,Fuel combustion,Biofuel,Biodiesel ME,GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME_GLOBAL_kg_2022,0.18822,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_biodieselMe
Scope 1,Fuel combustion,Biofuel,Biodiesel ME,GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME_GLOBAL_litres_2022,0.16751,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_biodieselMe
Scope 1,Fuel combustion,Biofuel,Biodiesel ME (from tallow),GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME-(from-tallow)_GLOBAL_GJ_2022,5.05961,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_biodieselMeFromTallow
Scope 1,Fuel combustion,Biofuel,Biodiesel ME (from tallow),GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME-(from-tallow)_GLOBAL_kg_2022,0.18822,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_biodieselMeFromTallow
Scope 1,Fuel combustion,Biofuel,Biodiesel ME (from tallow),GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME-(from-tallow)_GLOBAL_litres_2022,0.16751,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_biodieselMeFromTallow
Scope 1,Fuel combustion,Biofuel,Biodiesel ME (from used cooking oil),GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME-(from-used-cooking-oil)_GLOBAL_GJ_2022,5.05961,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_biodieselMeFromUsedCookingOil
Scope 1,Fuel combustion,Biofuel,Biodiesel ME (from used cooking oil),GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME-(from-used-cooking-oil)_GLOBAL_kg_2022,0.18822,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_biodieselMeFromUsedCookingOil
Scope 1,Fuel combustion,Biofuel,Biodiesel ME (from used cooking oil),GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Biodiesel-ME-(from-used-cooking-oil)_GLOBAL_litres_2022,0.16751,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_biodieselMeFromUsedCookingOil
Scope 1,Fuel combustion,Biofuel,Bioethanol,GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Bioethanol_GLOBAL_GJ_2022,0.42339,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_bioethanol
Scope 1,Fuel combustion,Biofuel,Bioethanol,GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Bioethanol_GLOBAL_kg_2022,0.01135,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_bioethanol
Scope 1,Fuel combustion,Biofuel,Bioethanol,GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Bioethanol_GLOBAL_litres_2022,0.00901,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_bioethanol
Scope 1,Fuel combustion,Biofuel,Biomethane (compressed),GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Biomethane-(compressed)_GLOBAL_GJ_2022,0.10625,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_biomethaneCompressed
Scope 1,Fuel combustion,Biofuel,Biomethane (compressed),GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Biomethane-(compressed)_GLOBAL_kg_2022,0.00521,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_biomethaneCompressed
Scope 1,Fuel combustion,Biofuel,Biomethane (compressed),GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Biomethane-(compressed)_GLOBAL_litres_2022,,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_biomethaneCompressed
Scope 1,Fuel combustion,Biofuel,Biomethane (liquified),GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Biomethane-(liquified)_GLOBAL_GJ_2022,0.10625,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_biomethaneLiquified
Scope 1,Fuel combustion,Biofuel,Biomethane (liquified),GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Biomethane-(liquified)_GLOBAL_kg_2022,0.00521,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_biomethaneLiquified
Scope 1,Fuel combustion,Biofuel,Biomethane (liquified),GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Biomethane-(liquified)_GLOBAL_litres_2022,,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_biomethaneLiquified
Scope 1,Fuel combustion,Biofuel,Biopropane,GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Biopropane_GLOBAL_GJ_2022,0.08952,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_biopropane
Scope 1,Fuel combustion,Biofuel,Biopropane,GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Biopropane_GLOBAL_kg_2022,0.00415,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_biopropane
Scope 1,Fuel combustion,Biofuel,Biopropane,GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Biopropane_GLOBAL_litres_2022,0.00214,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_biopropane
Scope 1,Fuel combustion,Biofuel,Methanol (bio),GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Methanol-(bio)_GLOBAL_GJ_2022,0.42339,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_methanolBio
Scope 1,Fuel combustion,Biofuel,Methanol (bio),GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Methanol-(bio)_GLOBAL_kg_2022,0.00851,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_methanolBio
Scope 1,Fuel combustion,Biofuel,Methanol (bio),GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Methanol-(bio)_GLOBAL_litres_2022,0.00676,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_methanolBio
Scope 1,Fuel combustion,Biofuel,Off road biodiesel,GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Off-road-biodiesel_GLOBAL_GJ_2022,5.05961,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_offRoadBiodiesel
Scope 1,Fuel combustion,Biofuel,Off road biodiesel,GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Off-road-biodiesel_GLOBAL_kg_2022,0.18822,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_offRoadBiodiesel
Scope 1,Fuel combustion,Biofuel,Off road biodiesel,GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Off-road-biodiesel_GLOBAL_litres_2022,0.16751,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_offRoadBiodiesel
Scope 1,Fuel combustion,Biofuel,Renewable petrol,GLOBAL,GJ,2022,Scope1_Fuel-combustion_Biofuel_Renewable-petrol_GLOBAL_GJ_2022,0.42339,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_GJ_fuelCombustion_biofuel_renewablePetrol
Scope 1,Fuel combustion,Biofuel,Renewable petrol,GLOBAL,kg,2022,Scope1_Fuel-combustion_Biofuel_Renewable-petrol_GLOBAL_kg_2022,0.01188,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_kg_fuelCombustion_biofuel_renewablePetrol
Scope 1,Fuel combustion,Biofuel,Renewable petrol,GLOBAL,litres,2022,Scope1_Fuel-combustion_Biofuel_Renewable-petrol_GLOBAL_litres_2022,0.01059,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_l_fuelCombustion_biofuel_renewablePetrol
